,team,pay_type,question,points,answer,answer_mod,answer_truth,correct,score
170,Sept of Baylor was an Inside job,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
157,"Ser Dunton, Knight of the Laughing Tree",Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
171,Ser Hand Rale of House Bannister,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
141,Stark Raving Mad,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
149,Stop Dragon My Horse Heart Around,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
135,Sword Swallowers through and through,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
152,That’s what I do: I drink and I know things.,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
159,The Ed Sheeran Fan Club,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
158,The House of Lesbian Poets,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
167,Tormund's Member Rewards Club,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
146,Xander's Dragons,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
150,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
178,A Girl Has No Team Name,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
195,A Team Has No Name,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
180,A Wizard of Cersei,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
204,Aaron on the Throne,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
188,All Bronn and no brains,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
209,Arya Dead Yet?,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
